lat,lon,name,value
59.9711571,30.2545462,JetSet,1
55.9155373,37.8585901,Go-Ride,1
55.703362,37.5283823,,1
55.7095827,37.5637677,,1
55.7360583,37.7969204,,1
60.0319321,30.3832033,,1
60.0337315,30.3731472,,1
55.9062199,37.3904346,Вело-Гуд,1
55.6989099,37.5511169,Крути Педали,1
55.8237666,37.6349604,Драйв-Прокат,1
55.635756,37.5255913,,1
55.6224293,37.6949626,,1
55.7945939,37.6674299,,1
59.8591055,30.3148748,ProkatStyle,1
55.7846125,37.7520803,,1
59.9393308,30.2174155,,1
55.7696216,37.7491798,,1
55.7606286,37.8084615,,1
55.8267619,37.6307426,,1
55.736408,37.8036912,,1
55.7358608,37.5899772,Крути Педали,1
55.7507116,37.4910961,Прокачу,1
55.7324657,37.8161355,,1
59.9312812,30.2934603,Smart Bike,1
59.9449276,30.3767669,,1
59.9388678,30.3702953,,1
55.7842549,37.6729237,,1
55.6624837,37.3909224,,1
55.8105063,37.6656777,,1
55.7111591,37.5616095,,1
60.0926723,29.9580226,,1
55.7823604,37.7520482,,1
55.7117123,37.5460809,,1
55.8265124,37.6178091,Good Bike,1
55.7234008,37.8982397,,1
55.9815072,37.5951926,,1
59.8330634,30.3478126,,1
55.8953696,37.4569753,Good Bike,1
59.9828274,30.2531736,,1
55.6424235,37.7287526,,1
55.9165929,37.7295501,Go-ride,1
55.7702786,37.7509515,,1
55.6220775,37.7435108,,1
55.6265843,37.7427399,,1
55.6974251,37.8888307,,1
55.9250058,37.976649,,1
55.7833034,37.7478612,,1
55.7933875,37.6727368,Крути педали,1
59.7065591,30.3877538,Прокат,1
56.004002,37.8638991,Go-ride,1
55.7052426,37.4823794,,1
55.7088924,37.4805212,,1
55.7085478,37.4696568,,1
60.0567068,30.4329752,Energy Life,1
59.859093,30.1770882,,1
55.60644,37.9672967,,1
55.7449094,37.6018449,,1
60.0394978,30.2415088,Покатушкин,1
55.7078516,37.6578649,,1
55.716885,37.6637115,,1
55.71766,37.6764092,,1
55.7049967,37.6538473,,1
55.596451,37.3730801,,1
55.5975797,37.3753665,,1
55.5976126,37.3752438,,1
55.8733756,37.7245484,,1
55.7668146,37.6599218,,1
55.7472439,38.0388859,КутиКатай,1
55.6838664,37.6992167,Прокат электросамокатов,1
55.8235204,37.374858,,1
55.8285958,37.6255139,,1
55.8630352,37.471018,,1
55.80298,37.418534,КутиКатай,1
59.7230092,30.429293,Прокат велосипедов,1
59.9345596,30.2981752,,1
59.869936,30.2711772,,1
59.8644761,30.3465926,,1
59.8759506,30.3186955,,1
59.8432479,30.356907,,1
59.8299559,30.3795843,,1
59.8759629,30.3355665,,1
55.7196987,37.4624325,,1
59.8622338,30.3203358,,1
55.8270914,37.6382088,,1
55.8213211,37.9645717,,1
60.0370514,30.3245012,,1
60.008675,30.2593024,,1
60.0171642,30.247972,,1
60.0194132,30.2567485,,1
55.6937538,37.6671696,,1
60.0075226,30.2584207,,1
59.9263471,30.3670689,,1
55.7527256,37.5669554,,1
55.6665762,37.3449075,,1
55.6854092,37.4998642,,1
59.8621431,30.4045169,,1
59.9347045,30.3600711,,1
59.87142,30.3685489,,1
59.9909252,30.3523962,Smart Bike,1
55.6962184,37.3504092,,1
55.7418706,37.7756437,,1
55.7272767,37.9804552,,1
55.5692684,37.5599559,,1
55.7997059,37.9391473,Кути катай,1
55.8780362,37.6552379,,1
55.6912755,37.6728724,Let's go,1
55.6355468,38.0115943,,1
55.6635971,37.3868251,Prokatvelosport,1
55.7171306,37.8495134,,1
55.8626256,37.412948,,1
55.7299692,37.6104434,,1
59.9713693,30.2559039,,1
59.971507,30.254423,,1
59.9724527,30.2310069,,1
55.7866686,37.5306724,PROкачу,1
55.5104303,37.7764328,,1
55.6764466,37.898815,,1
55.8551613,37.6347533,,1
55.7921351,37.6651695,,1
55.8015048,37.6967096,Вело про,1
55.9420544,37.7512755,DeviClub,1
60.0590553,30.4375553,Kitrent,1
60.0687799,30.4261467,PowerBike,1
55.7344754,37.7989951,Яспорт,1
60.047788,30.4291467,Покатушкин,1
